Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Change of course,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,12.1,6,12.616666666666667,Graduate
2nd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,5,11.94,6,12.8,Graduate
Change of institution/course,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,5,11.0,6,10.166666666666666,Graduate
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,No,Yes,6,12.857142857142858,5,12.4,Graduate
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,5,11.0,2,10.0,Dropout
Over 23 years old,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,1,17.0,2,11.0,Dropout
2nd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,5,11.0,3,11.428571428571429,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,1,10.0,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,4,11.25,4,10.428571428571429,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,No,5,12.4,4,13.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,1,13.0,2,10.0,Dropout
1st phase - general contingent,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,6,11.833333333333334,6,11.666666666666666,Graduate
Technological specialization diploma holders,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Administrative staff,Intermediate Level Technicians and Professions,No,Yes,1,13.0,3,12.6,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,4,11.0,5,12.0,Graduate
1st phase - general contingent,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,2,11.5,3,12.0,Dropout
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,7,14.06,7,14.06,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,11.25,3,11.714285714285714,Dropout
1st phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,2,14.5,3,11.333333333333334,Dropout
Change of course,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,2,10.5,5,12.4,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,4,12.8,3,14.5,Graduate
Change of course,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,4,13.25,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,13.571428571428571,5,13.6,Graduate
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,10.2,4,11.25,Graduate
1st phase - special contingent (Madeira Island),Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.2,5,11.8,Graduate
1st phase - special contingent (Azores Island),Advertising and Marketing Management,Other - 11th year of schooling,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,6,13.428571428571429,4,14.0,Graduate
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,1,11.0,0,0.0,Dropout
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,6,13.548333333333334,6,14.775,Graduate
1st phase - general contingent,Journalism and Communication,Higher Education,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,6,12.166666666666666,6,12.5,Graduate
3rd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,10.8,2,11.0,Dropout
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,8,10.5,9,10.333333333333334,Graduate
2nd phase - general contingent,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,6,11.15,7,12.814285714285717,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,3,11.666666666666666,5,13.625,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.285714285714286,5,12.125,Graduate
Over 23 years old,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,13.375,5,13.5,Graduate
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,13.126,5,13.126,Graduate
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,3,10.333333333333334,5,11.8,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Intermediate Level Technicians and Professions,No,Yes,4,12.0,2,11.5,Dropout
1st phase - general contingent,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,11.4,4,10.25,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,12.771428571428572,7,12.771428571428572,Graduate
Over 23 years old,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,7,11.0,1,10.0,Dropout
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Unskilled workers in extractive industry, construction, manufacturing and transport",cleaning workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,4,11.25,4,12.25,Graduate
Technological specialization diploma holders,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,5,12.4,2,15.0,Graduate
Change of course,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,1,13.0,4,11.25,Dropout
Change of course,Advertising and Marketing Management,Higher Education,Higher Education,Administrative staff,Administrative staff,No,Yes,2,10.0,3,10.333333333333334,Dropout
Over 23 years old,Management (evening attendance),Higher Education - Master's,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,5,14.2,5,14.6,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th year of schooling,Armed Forces Professions,Administrative staff,No,Yes,5,12.7,7,13.475,Graduate
Transfer,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Specialists in Intellectual and Scientific Activities,No,Yes,8,13.333333333333334,9,13.11111111111111,Graduate
Over 23 years old,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,4,12.25,4,12.75,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,No,5,13.6,5,13.666666666666666,Dropout
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,2,10.5,3,11.333333333333334,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Unskilled workers in extractive industry, construction, manufacturing and transport",Meal preparation assistants,No,Yes,6,12.565,5,12.16,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,6,13.166666666666666,5,13.2,Graduate
Over 23 years old,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,11.166666666666666,4,11.8,Graduate
1st phase - general contingent,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Master's,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,6,12.666666666666666,6,12.142857142857142,Graduate
Over 23 years old,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,5,13.06,0,0.0,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,4,12.5,5,10.5,Dropout
1st phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,7,13.154285714285717,7,13.154285714285717,Graduate
1st phase - general contingent,Equinculture,Higher Education,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,2,11.5,5,11.4,Dropout
Technological specialization diploma holders,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,3,13.333333333333334,3,12.75,Dropout
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Unskilled workers in extractive industry, construction, manufacturing and transport","Office workers, secretaries in general and data processing operators",No,Yes,5,11.8,3,12.0,Graduate
Change of course,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
Technological specialization diploma holders,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,2,12.5,3,11.6,Dropout
International student (bachelor),Informatics Engineering,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,7,13.142857142857142,6,11.833333333333334,Graduate
1st phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,No,5,15.0,5,14.2,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,1,10.0,1,13.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,Yes,Yes,6,12.166666666666666,5,11.2,Graduate
Technological specialization diploma holders,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Sergeants,cleaning workers,No,Yes,3,12.0,2,12.5,Dropout
Over 23 years old,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,7,12.857142857142858,6,12.666666666666666,Dropout
Over 23 years old,Veterinary Nursing,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,3,11.75,4,12.8,Dropout
Change of course,Advertising and Marketing Management,Higher Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,5,11.833333333333334,4,13.25,Dropout
Technological specialization diploma holders,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.555555555555555,5,11.8,Graduate
Technological specialization diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,2,14.5,4,11.25,Dropout
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,6,12.875,5,12.142857142857142,Graduate
Over 23 years old,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.0,5,10.2,Graduate
Change of course,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,1,13.0,3,14.0,Dropout
2nd phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,5,10.8,2,10.5,Dropout
2nd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.833333333333334,5,11.4,Graduate
1st phase - general contingent,Management,Unknown,Unknown,(blank),(blank),Yes,Yes,5,12.6,3,12.833333333333334,Graduate
1st phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,2,14.333333333333334,2,12.5,Dropout
Technological specialization diploma holders,Agronomy,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,teachers,Other administrative support staff,No,Yes,1,11.0,0,0.0,Dropout
Over 23 years old,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,11.833333333333334,4,14.0,Graduate
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,5,11.333333333333334,2,11.5,Dropout
Over 23 years old,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,Yes,Yes,3,14.333333333333334,5,12.428571428571429,Dropout
Change of institution/course,Veterinary Nursing,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,6,14.428571428571429,4,15.6,Graduate
Technological specialization diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,5,11.8,4,12.0,Dropout
1st phase - general contingent,Basic Education,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,5,13.6,5,11.6,Graduate
Technological specialization diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,4,13.4,2,13.5,Dropout
Change of course,Oral Hygiene,Higher Education,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,3,13.0,3,11.666666666666666,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,Yes,Yes,5,13.34,6,12.385714285714286,Graduate
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,Yes,Yes,3,12.0,3,11.666666666666666,Dropout
Technological specialization diploma holders,Agronomy,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,Yes,5,11.5,6,11.333333333333334,Graduate
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,5,12.86,5,12.86,Graduate
1st phase - general contingent,Nursing,Higher Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,7,12.59125,7,12.820000000000002,Graduate
Technological specialization diploma holders,Agronomy,Higher Education - Master's,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,5,13.0,2,11.5,Dropout
1st phase - general contingent,Informatics Engineering,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,0,0.0,1,15.0,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,13.2,5,13.25,Graduate
Change of course,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,11.428571428571429,7,11.857142857142858,Graduate
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,11.166666666666666,3,11.666666666666666,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,11.75,3,11.333333333333334,Dropout
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,14.5,5,15.0,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,4,10.4,4,10.75,Dropout
3rd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,assembly workers,"Office workers, secretaries in general and data processing operators",No,Yes,7,13.0,6,12.5,Graduate
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,6,14.166666666666666,6,13.428571428571429,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,4,13.25,5,13.82,Graduate
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,1,11.0,0,0.0,Dropout
Holders of other higher courses,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.6,5,11.25,Graduate
2nd phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,Yes,Yes,4,11.5,3,11.0,Dropout
Over 23 years old,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,4,14.2,4,11.857142857142858,Dropout
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,4,12.5,3,13.666666666666666,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,6,11.666666666666666,5,11.6,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Armed Forces Professions,No,Yes,3,13.0,3,13.0,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",No,Yes,11,11.545454545454543,9,11.7,Graduate
Change of course,Management,Higher education - doctorate,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,No,Yes,1,10.0,0,0.0,Dropout
