Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Holders of other higher courses,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,3,13.833333333333334,0,0.0,Dropout
2nd phase - general contingent,Equinculture,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,11.8,5,13.2,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Bachelor's Degree,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,8,13.74625,8,13.74625,Graduate
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Social Service (evening attendance),Unknown,Unknown,Student,Student,No,Yes,0,0.0,0,0.0,Dropout
Holders of other higher courses,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,Yes,Yes,6,13.333333333333334,5,14.5,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,15.666666666666666,6,15.285714285714286,Graduate
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,7,11.857142857142858,7,11.857142857142858,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,5,14.5,5,13.6,Graduate
2nd phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,6,12.166666666666666,6,13.714285714285714,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.6,6,12.0,Graduate
2nd phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Unskilled workers in extractive industry, construction, manufacturing and transport",cleaning workers,Yes,Yes,6,12.666666666666666,6,13.0,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,6,12.857142857142858,4,13.0,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,No,Yes,7,13.9,7,13.9,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,13.817142857142857,7,13.817142857142857,Graduate
Short cycle diploma holders,Oral Hygiene,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Yes,Yes,6,13.314285714285717,7,12.875,Graduate
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Unknown,Student,Student,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.166666666666666,6,12.166666666666666,Graduate
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,No,4,11.25,3,11.333333333333334,Dropout
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,14.666666666666666,6,14.571428571428571,Graduate
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,4,12.0,4,12.0,Dropout
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Officers,"Unskilled workers in extractive industry, construction, manufacturing and transport",No,Yes,6,14.0,3,12.666666666666666,Graduate
1st phase - general contingent,Veterinary Nursing,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,6,15.538461538461538,6,12.625,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,0,0.0,0,0.0,Dropout
1st phase - special contingent (Azores Island),Equinculture,Higher Education - Master (2nd cycle),Higher education - doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,6,15.0,6,14.833333333333334,Graduate
Change of course,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,12.25,5,13.285714285714286,Graduate
Short cycle diploma holders,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,11,15.692307692307692,9,15.555555555555555,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,5,12.285714285714286,5,12.75,Graduate
1st phase - general contingent,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,7,11.88888888888889,8,11.95625,Graduate
Holders of other higher courses,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,11.8,5,12.6,Graduate
2nd phase - general contingent,Social Service,Higher Education,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,6,11.166666666666666,6,11.666666666666666,Graduate
3rd phase - general contingent,Nursing,Higher Education,Higher Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,7,14.05714285714286,8,14.6,Graduate
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,4,11.75,4,10.0,Dropout
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.5,6,14.0,Graduate
3rd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,Yes,Yes,7,12.625,8,13.0625,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,13.971428571428572,7,13.971428571428572,Graduate
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Unknown,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,2,11.0,0,0.0,Dropout
Over 23 years old,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,5,12.8,5,15.333333333333334,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,No,0,0.0,0,0.0,Dropout
Holders of other higher courses,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,13.714285714285714,5,13.142857142857142,Graduate
Over 23 years old,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Technological specialization diploma holders,Equinculture,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,6,12.0,3,14.666666666666666,Dropout
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,12.666666666666666,6,13.333333333333334,Graduate
Change of course,Social Service (evening attendance),Unknown,Unknown,Student,Student,No,No,3,12.0,1,13.0,Dropout
Over 23 years old,Social Service (evening attendance),Unknown,Unknown,Student,Student,No,Yes,5,11.4,6,11.166666666666666,Graduate
Change of course,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,No,2,13.25,3,12.6,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,6,13.861666666666666,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.166666666666666,6,12.142857142857142,Graduate
Holders of other higher courses,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,4,13.75,6,14.5,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,6,15.433333333333332,6,15.433333333333332,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,13.833333333333334,6,15.5,Graduate
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,12,11.833333333333334,11,11.363636363636363,Graduate
2nd phase - general contingent,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Social Service,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,11.166666666666666,6,12.166666666666666,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,14.666666666666666,6,12.428571428571429,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,13.714285714285714,6,14.166666666666666,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.8,5,11.444444444444445,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,13.25,5,11.8,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,6,13.78,6,13.78,Dropout
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,7,15.11,7,15.11,Graduate
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,4,11.0,5,11.2,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Yes,Yes,7,15.798571428571426,7,15.798571428571426,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,13.775714285714288,8,15.599999999999998,Graduate
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,7,12.16,7,12.16,Graduate
Over 23 years old,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,6,14.333333333333334,6,15.5,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,7,14.2,7,14.2,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,5,12.2,5,13.2,Graduate
2nd phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,4,13.0,5,13.666666666666666,Graduate
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,12.485714285714286,7,12.485714285714286,Graduate
Holders of other higher courses,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,6,17.0,6,16.285714285714285,Graduate
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,5,10.8,6,10.166666666666666,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,14.716666666666669,6,14.716666666666669,Graduate
1st phase - general contingent,Social Service (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.333333333333334,6,11.666666666666666,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,15.307692307692308,6,13.875,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.666666666666666,6,12.666666666666666,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Yes,Yes,7,14.368,8,14.44875,Graduate
Over 23 years old,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,7,12.084285714285716,7,12.084285714285716,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,4,11.0,6,11.5,Graduate
1st phase - general contingent,Social Service (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,12.8,5,11.0,Graduate
Change of course,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,11.857142857142858,7,11.857142857142858,Graduate
Over 23 years old,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.285714285714286,5,13.0,Graduate
2nd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,"Personal Services, Security and Safety Workers and Sellers",No,Yes,3,12.333333333333334,4,13.5,Dropout
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,4,11.25,4,11.4,Graduate
Holders of other higher courses,Social Service,Unknown,Unknown,(blank),(blank),No,Yes,0,0.0,0,0.0,Dropout
Holders of other higher courses,Communication Design,Higher education - doctorate,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,2,16.0,1,16.0,Dropout
Change of course,Social Service (evening attendance),Unknown,Unknown,(blank),Student,No,Yes,6,11.666666666666666,6,11.0,Graduate
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,4,12.0,4,12.5625,Dropout
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,12,13.417391304347827,12,13.417391304347827,Graduate
1st phase - general contingent,Journalism and Communication,7th year of schooling,Unknown,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Student,No,Yes,6,15.166666666666666,6,14.857142857142858,Graduate
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,13.833333333333334,5,12.5,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,11th year of schooling - not completed,Other Situation,Other Situation,No,Yes,5,13.333333333333334,4,14.8,Graduate
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,3,11.666666666666666,3,10.666666666666666,Dropout
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,15.0,6,13.428571428571429,Graduate
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,1,13.0,2,12.5,Dropout
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,6,13.075,7,12.05,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.5,6,13.666666666666666,Graduate
Technological specialization diploma holders,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,5,11.8,6,12.333333333333334,Graduate
Change of course,Basic Education,Technical-professional course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other Situation,Other Situation,No,Yes,6,12.166666666666666,3,11.0,Dropout
2nd phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.166666666666666,6,11.0,Graduate
Change of course,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,13.557142857142855,8,13.2,Graduate
2nd phase - general contingent,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,14.333333333333334,6,13.5,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,"Personal Services, Security and Safety Workers and Sellers",Student,No,Yes,4,10.5,4,11.75,Graduate
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Student,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,14.093333333333332,8,15.0,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.333333333333334,6,13.166666666666666,Graduate
Change of course,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,7,12.071428571428571,7,12.071428571428571,Graduate
